label,nodeid,r,x,y
"prophet, man, apostl, prayer, rakat, iqama, malik_ibn_buhaina, are, fajr, allah, peopl",142,1426,22,1425
"prophet, aisha, apostl, joseph, al_aswad, place, al_amash, time, peopl, adhan, ill, prayer, bakr, tell, order, abu, allah, regular",143,1066,23,1066
"prophet, hous, ullah, aisha, mention, wive, leg, men, permiss, ubaid, ground, talib, diseas, man, al_abba, name, abi, ali_ibn_, help",144,401,18,400
"home, umar, ibn, prayer, nafi, adhan, order, pray, muadhdhin, _ibn_umar, night, allah, apostl",145,777,21,777
"valley, hous, time, apostl, prayer, musalla, itban, pray, place, al_ansari, man, tribe, itban_bin_malik, water, mahmuid_bin_rabi, allah, peopl",146,761,21,761
"home, muadh_dhin, prayer_ibn_abba, peopl, prayer, day, doubt, pray, come, _ibn_abba, ill, abdullah_bin_al_harith, order, raini, frain, surpris, mosqu, prophet",147,492,14,492
"day, cloud, roof, apostl, mark, forehead, said, al_khudri, water, mud, branch, iqama, abu, allah, date_palm",148,771,19,771
"ana, prophet, mat, did, al_jaruid, side, hous, ansar, meal, man, tion, rakat, water, anas_bin_sirin, duha",149,483,17,483
"prophet, iqama, aisha, supper",150,1344,20,1344
"supper, apostl, anas_bin_malik, prayer, allah, maghrib",151,1495,23,1495
"prophet, imam, meal, apostl, till, for_ibn_umar, eat, fact, _ibn_umar, spite, dont, food, prayer, nafi, quran, recit, narrated_ibn_umar, anyon, supper, start, iqama, allah, hast",152,649,17,649
"shoulder, meat, sheep, apostl, prayer, piec, ablutilon, allah, knife, father, jafar_bin_amr_bin_umaiya",153,848,17,848
"prophet, hous, aisha, time, prayer, use, famili, al_aswad",154,928,18,928
"front, prophet, malik_bin_huwairith, way, prayer, sheikh, aim, while, our, aiyub, raka, mosqu, prostrat, qilaba, abu",155,573,18,573
"prophet, aisha, peopl, prayer, bakr, place, diseas, tell, joseph, musa, man, abu",156,992,24,992
"apostl, aisha, mother, prayer, umar, believ, bakr, say, place, ill, tell, order, joseph, abu, allah, hafsa, peopl",157,883,27,883
"prophet, hous, ill, ness, peopl, till, face, al_ansari, time, monday, abu, prayer, quran, bakr, az_zuhn, row, anas_bin_malik, curtain",158,650,19,649
"ana, prophet, peopl, prayer, day, bakr, meantim, face, curtain, abu",159,1109,22,1109
"weep, aisha, apostl, prayer, quran, bakr, hamza_bin_abdullah, man, joseph, tell, abu, allah, repli, father, peopl",160,1005,25,1005
"prophet, apostl, aisha, peopl, prayer, bakr, ill, urwa, allah, father, abu",161,1663,30,1663
"muadh_dhin, time, peopl, meantim, hand, al, lah, bani, abu, apostl, amr_bin_auf, as_saidi, prayer, sahl_bin_sad, peac, iqama, row, allah, bakr",162,748,22,747
"prophet, home, time, adhan, prayer, twenti, famili, night, men, malik_bin_huwairth, teach",163,636,15,636
"prophet, al_ansari, taslim, prayer, itban_bin_malik, hous, place, permiss",164,806,20,805
"prophet, aisha, apostl, trough, ill, bath, al_abba, peopl, isha, umar, ubaid_ullah_ibn_abdullah_bin_utba, prayer, bakr, person, water, abu, allah",165,1138,28,1138
"hous, prophet, aisha, apostl, imam, head, liman_hamida, prais, erect, rabbana, wa, lord, a_l_lahu, peopl, sami, mother, prayer, complet, believ, bow, stand, laka_l_hamd, allah",166,734,19,733
"prophet, imam, ill, apostl, sami, rise, say, hors, rabbana, pray, wa, a_l_lahu_liman, bodi, hamida, side, prayer, bow, stand, anas_bin_malik, lakalhamd, allah, humaid",167,646,16,646
"liar, sami, back, prostrat, apostl, none, liman, allah, prophet, al_bara",168,1247,21,1247
"ishaq, abu",169,1129,22,1129
"prophet, imam, huraira, donkey, allah, figur, abu, head, face, isnt",170,1248,19,1248
"quba, prayer, slave, hudhaifa, quran, narrated_ibn_umar, place, prophet_, emigr, arriv, other, salim, abu",171,379,16,379
"ana, prophet, raisin, obey, chief, head, listen",172,747,16,747
"imam, apostl, prayer, huraira, reward, sin, mistak, allah, abu",173,1350,25,1349
"prophet, chief, abu_dhar, raisin, anas_bin_malik, obey, head, listen",174,645,15,645
