cluster,global_distance,global_nimber_of_blocks,global_tfidf,local_distance,radious,word
1,4140,104,0.0846548606,14,4140.023671429911,group
1,4241,3,0.0040582235,0,4241.0,adob
1,4243,1,0.0011092481,0,4243.0,rainwat
1,4242,2,0.0021077134,50,4242.294662090318,abdul_muttalib
1,4233,11,0.0103736669,45,4233.239185304795,departur
1,4243,1,0.0011092481,0,4243.0,rabbi_ghfir_li
1,4240,4,0.0059044308,50,4240.294801072208,warn
1,4238,6,0.0075048451,33,4238.128478467825,kite
1,4226,18,0.0200423649,0,4226.0,key
1,4241,3,0.0030436677,33,4241.128387587435,wahb_bin_kaisan
1,4241,3,0.0030436677,0,4241.0,uniqu
1,4223,21,0.0226683372,23,4223.062632734684,color
1,4241,3,0.0030436677,66,4241.513527032538,slowli
1,4231,13,0.0109643742,38,4231.170641796429,sawiq
1,4230,14,0.0158457748,21,4230.052127338386,tone
1,4238,6,0.0056286338,33,4238.128478467825,sputum
1,4235,9,0.0097831751,0,4235.0,obligatori
1,4243,1,0.0011092481,0,4243.0,sheer
1,4088,156,0.1113636182,19,4088.044153381908,mother
1,4166,78,0.0667723380,35,4166.14702092953,sheet
1,4236,8,0.0099415037,0,4236.0,babi
1,4208,36,0.0255832403,36,4208.153989577853,abdullah_bin_abi
1,4243,1,0.0011092481,0,4243.0,fuel
1,4236,8,0.0081339576,50,4236.295079429666,crow
1,4209,35,0.0250036007,34,4209.137322540095,zaid
1,4243,1,0.0011092481,0,4243.0,as_salamualaikum_warahmat_ullah
1,4243,1,0.0011092481,0,4243.0,titi
1,4238,6,0.0056286338,33,4238.128478467825,al_baqara
1,4242,2,0.0021077134,0,4242.0,pen
1,4234,10,0.0192798988,40,4234.188942406799,mastigur
1,4220,24,0.0198692839,37,4220.162200674282,buy
1,4243,1,0.0011092481,0,4243.0,matern
1,4243,1,0.0011092481,0,4243.0,step_son
1,4227,17,0.0137543741,29,4227.099478365751,jubair_bin_mutim
1,4242,2,0.0021077134,0,4242.0,asim_bin_thabit
1,4240,4,0.0039362872,50,4240.294801072208,hamd
1,4242,2,0.0021077134,50,4242.294662090318,ihab_bin_aziz
1,4243,1,0.0011092481,0,4243.0,at_tuzi
1,4231,13,0.0109643742,30,4231.106356498262,jafar
1,4240,4,0.0039362872,25,4240.073702189621,maqil
1,4224,20,0.0157604399,10,4224.0118371046265,flesh
1,4243,1,0.0011092481,0,4243.0,throne__verili
1,4243,1,0.0011092481,0,4243.0,thenceforth
1,4201,43,0.0432793975,25,4201.074386392129,offer
1,4243,1,0.0011092481,0,4243.0,rabbi_l_alamin
1,4211,33,0.0238325049,18,4211.038470496322,christian
1,4229,15,0.0123775711,46,4229.250169947387,riba
1,4205,39,0.0272998081,38,4205.17169685139,yemen
1,4242,2,0.0021077134,0,4242.0,clad
1,4232,12,0.0162172114,16,4232.030245638611,resid
1,4243,1,0.0011092481,0,4243.0,inn_al_hamda
1,4243,1,0.0011092481,0,4243.0,al_mizr
1,4238,6,0.0056286338,0,4238.0,hijaz
1,4243,1,0.0011092481,0,4243.0,al_hamdu_lillah
1,4241,3,0.0050727794,0,4241.0,mangi
1,4243,1,0.0011092481,0,4243.0,hajjat
1,4106,138,0.1091453712,26,4106.0823177330485,daughter
1,4232,12,0.0102424493,33,4232.128660615128,hudaibiya
1,4242,2,0.0021077134,0,4242.0,aluzza
1,4242,2,0.0021077134,50,4242.294662090318,surat_an_na
1,3984,260,0.1468845521,26,3984.084838454121,men
1,4239,5,0.0115099737,20,4239.047180676337,disobey
1,4242,2,0.0021077134,0,4242.0,taribat
1,4242,2,0.0021077134,50,4242.294662090318,al_wala
1,4241,3,0.0030436677,0,4241.0,wajhi
1,4242,2,0.0021077134,0,4242.0,aladba
1,4243,1,0.0011092481,0,4243.0,abdullah_bin_dhil
1,4238,6,0.0056286338,50,4238.294940185263,habit
1,4242,2,0.0021077134,50,4242.294662090318,quantiti
1,4241,3,0.0030436677,33,4241.128387587435,thaniyat_al_wada
1,4243,1,0.0011092481,0,4243.0,scalp
1,4243,1,0.0011092481,0,4243.0,quanic
1,4242,2,0.0021077134,0,4242.0,yazid_bin_abi
1,4193,51,0.0338718013,23,4193.063080851515,asma
1,4239,5,0.0047958224,0,4239.0,udder
1,4243,1,0.0011092481,0,4243.0,muauwid
1,4243,1,0.0011092481,0,4243.0,anas_bin_al_nadr
1,4241,3,0.0040582235,0,4241.0,anzalta
1,4243,1,0.0011092481,0,4243.0,apost
1,4243,1,0.0011092481,0,4243.0,with_ibn_masud
1,4243,1,0.0011092481,0,4243.0,truli
1,4242,2,0.0021077134,50,4242.294662090318,harmala
1,4242,2,0.0021077134,50,4242.294662090318,territori
1,4243,1,0.0011092481,0,4243.0,dhatin_nataqain
1,3811,433,0.1620673393,43,3811.2425795270497,narrated_ibn_abba
1,4240,4,0.0039362872,0,4240.0,center
1,4241,3,0.0030436677,0,4241.0,expens
1,4243,1,0.0011092481,0,4243.0,alas_salat
1,4220,24,0.0183408774,16,4220.030331644549,jerusalem
1,4239,5,0.0047958224,60,4239.424607184329,lake
1,4221,23,0.0177049400,30,4221.106608461814,muadh_bin_jab
1,4243,1,0.0011092481,0,4243.0,emin
1,4235,9,0.0097831751,55,4235.3571277992605,root
1,4181,63,0.0400545768,31,4181.114923079728,vol
1,4198,46,0.0379659790,13,4198.020128584426,sake
1,4243,1,0.0011092481,0,4243.0,honestli
1,4243,1,0.0011092481,0,4243.0,pharynx
1,4243,1,0.0011092481,0,4243.0,vine
1,4234,10,0.0087635904,10,4234.011809147442,zam_zam
1,4239,5,0.0076733158,60,4239.424607184329,endow
1,4242,2,0.0021077134,0,4242.0,kab_bin_umra
1,4242,2,0.0021077134,0,4242.0,sad_bin_ubaida
1,4243,1,0.0011092481,0,4243.0,attempt
1,4242,2,0.0021077134,0,4242.0,guinea
1,4242,2,0.0021077134,0,4242.0,naqib
1,4231,13,0.0109643742,0,4231.0,clot
1,4243,1,0.0011092481,0,4243.0,hudhaifa_bin_utba__cam
1,4243,1,0.0022184962,0,4243.0,thrower
1,4236,8,0.0072301845,25,4236.073771784434,ter
1,4216,28,0.0290131635,21,4216.052300434614,pass
1,4241,3,0.0030436677,33,4241.128387587435,majanna
1,4237,7,0.0082787728,28,4237.09251728116,poison
1,4234,10,0.0113926675,20,4234.04723639215,mile
1,4179,65,0.0555793176,27,4179.0872209131985,lie
1,4243,1,0.0011092481,0,4243.0,ink
1,4243,1,0.0011092481,0,4243.0,hari
1,4233,11,0.0095091946,27,4233.086108266639,umaiya
1,4243,1,0.0011092481,0,4243.0,shain
1,4243,1,0.0011092481,0,4243.0,innahu
1,4243,1,0.0011092481,0,4243.0,wanabiyika_l_ladhi
1,4226,18,0.0152321974,27,4226.086250894556,qualiti
1,4242,2,0.0021077134,0,4242.0,educ
1,4238,6,0.0065667395,50,4238.294940185263,beat
1,4239,5,0.0047958224,20,4239.047180676337,buthan
1,4233,11,0.0095091946,27,4233.086108266639,ubaid
1,4242,2,0.0021077134,50,4242.294662090318,awl
1,4242,2,0.0021077134,50,4242.294662090318,access
1,4243,1,0.0011092481,0,4243.0,suwaid_bin_al_numan
1,4232,12,0.0187778237,33,4232.128660615128,characterist
1,4240,4,0.0039362872,75,4240.663273592942,jonah
1,4235,9,0.0097831751,33,4235.128569476965,think
1,4243,1,0.0011092481,0,4243.0,senseless
1,4243,1,0.0011092481,0,4243.0,nawwa
1,4235,9,0.0080044160,44,4235.228565260675,yalamlam
1,4145,99,0.0569070562,26,4145.081543226864,al
1,4239,5,0.0047958224,60,4239.424607184329,al_muzani
1,4240,4,0.0059044308,0,4240.0,prevent
1,4243,1,0.0011092481,0,4243.0,ore
1,4243,1,0.0011092481,0,4243.0,fellow
1,4243,1,0.0011092481,0,4243.0,warith
1,4234,10,0.0087635904,60,4234.425108559602,jam
1,4243,1,0.0011092481,0,4243.0,tank_lak
1,4243,1,0.0011092481,0,4243.0,mubiqat
1,4241,3,0.0030436677,66,4241.513527032538,dhi_l_qada
1,4241,3,0.0030436677,33,4241.128387587435,ness
1,4241,3,0.0030436677,0,4241.0,khazraj
